zip,exante_share_baseline,exante_share_alt2,exante_share_alt1
7010,.029297164,.023954373,.018656963
7011,.028064687,.02272136,.018600177
7012,.032101028,.024271535,.02254596
7013,.0348837,.028119482,.02526547
7014,.050229527,.041066863,.034408603
7016,.02689434,.020566549,.018348623
7017,.022711964,.019154692,.018935464
7018,.018701134,.017138811,.018020535
7020,.050976671,.034313533,.02652921
7022,.019686902,.019697573,.017385621
7023,.03452969,.023789518,.023043305
7024,.033228517,.029873094,.025697563
7026,.02481132,.01951129,.016245667
7027,.030477552,.024508659,.017892644
7028,.029292192,.020708881,.020008003
7029,.020060541,.016523995,.016455816
7030,.039455101,.035876848,.035332225
7031,.026342973,.020380218,.019143036
7032,.025654165,.019601606,.018627293
7033,.026989313,.023483269,.023074128
7034,.030362258,.025178861,.023360288
7035,.038525291,.029129399,.025279097
7036,.029633954,.026084716,.024189508
7039,.024315346,.01893747,.016276803
7040,.03659232,.026304752,.02179537
7041,.029257819,.01963239,.018069727
7042,.024423515,.019589501,.016659725
7043,.023088694,.017605914,.015131177
7044,.02907986,.023541803,.020526929
7045,.020981075,.017774863,.01586871
7046,.015759675,.010935827,.012151537
7047,.027620709,.022503357,.019126277
7050,.01986446,.018077206,.01576001
7052,.030364661,.025467455,.021477917
7054,.022557247,.017419497,.015407884
7055,.018691819,.014752758,.012431051
7057,.018368846,.016142879,.015781038
7059,.017940095,.01370282,.012791436
7060,.028206278,.022273799,.018856594
7062,.037106678,.031063618,.024996921
7063,.038903419,.030949801,.026450053
7065,.037140477,.028651521,.024329828
7066,.026186772,.019513069,.017532222
7068,.021521585,.019730423,.01962111
7069,.021716101,.014371867,.011736527
7070,.031863142,.022346605,.01987119
7071,.027827926,.023162035,.020756936
7073,.028394621,.021592168,.016822727
7075,.03169217,.024812307,.020994475
7076,.024057576,.019424936,.018968692
7078,.015466936,.012081019,.01098279
7079,.030707143,.02120054,.01578477
7081,.031128012,.022920046,.021784326
7082,.021896327,.017155208,.014155713
7083,.039367981,.029308792,.023939941
7086,.049181666,.020312345,.018391076
7087,.015918307,.013878511,.014259773
7090,.020684145,.015262263,.013306191
7092,.020899486,.016135447,.017837955
7093,.022096006,.018348439,.016225062
7094,.032348402,.027402576,.022879018
7103,.02638375,.019687403,.016497912
7104,.018690282,.015971521,.014085038
7105,.018296652,.014355214,.012449515
7106,.020469842,.019183446,.017814655
7107,.018746782,.016647812,.013347226
7108,.0163309,.015615118,.014718844
7109,.033030849,.02797858,.025182541
7110,.034706399,.025341962,.022150001
7111,.023531063,.019651607,.018092105
7112,.017763779,.017670641,.014359733
7201,.019608214,.017234044,.015243694
7202,.023314159,.017940588,.015848989
7203,.041198675,.030722745,.023929471
7204,.027371319,.023951916,.022598241
7205,.036010388,.029394818,.026603851
7206,.022236111,.018493906,.015051395
7208,.020185564,.016465589,.0139205
7302,.027313843,.024556296,.027715141
7304,.020612115,.017980846,.018403605
7305,.026006293,.023371842,.021871099
7306,.017000725,.015493056,.013722775
7307,.021413142,.019648435,.019974612
7401,.020558495,.014963049,.013323983
7403,.030444501,.024181144,.01914975
7405,.020640673,.019292779,.015375946
7407,.029820645,.02352857,.019205492
7410,.0308381,.022944406,.021596489
7416,.036443003,.026880223,.018819284
7417,.017581839,.011662212,.011032308
7419,.041623712,.039146554,.034078475
7421,.041768581,.027960001,.026779026
7422,.039782025,.031400442,.025246305
7423,.019986654,.014295628,.011075384
7424,.030663406,.023206469,.021337559
7430,.034236867,.024785275,.019399101
7432,.02119091,.017824782,.01890244
7436,.023756888,.018485967,.016136263
7438,.029278278,.021742314,.018698487
7440,.025187721,.018747179,.015534572
7442,.034341663,.030037785,.02476069
7444,.024524244,.022374731,.023897763
7446,.02288596,.018614324,.016152432
7450,.023007203,.016016098,.013602077
7452,.02395829,.017327229,.016141236
7456,.02633233,.020879384,.018117994
7457,.036250077,.034943659,.054940861
7458,.016346078,.013045585,.013033479
7460,.035163891,.022557937,.026128266
7461,.028201168,.021967143,.020048419
7462,.040731117,.034588706,.025373811
7463,.028017066,.022249667,.019946011
7465,.029808121,.022329969,.017832957
7470,.02335529,.018500188,.0166585
7480,.032597084,.025725417,.019852623
7481,.021334583,.013331177,.013869382
7501,.01575776,.014102887,.012051683
7502,.030291522,.023697389,.018587757
7503,.021699596,.018030304,.015307493
7506,.03062796,.02373076,.021108592
7508,.032672808,.023747878,.019424703
7512,.028053658,.024461005,.021265069
7522,.016551411,.016993364,.018060138
7601,.027244911,.023172714,.018527739
7603,.026566401,.026340285,.018466176
7604,.026520753,.020070916,.017029559
7605,.029874349,.020542171,.01705298
7607,.030805897,.023894815,.022625782
7621,.032104444,.025120758,.02109942
7624,.02177182,.016491579,.014909665
7626,.023865582,.019612668,.019938372
7627,.018398615,.014833677,.010315534
7628,.02944316,.023943568,.018099925
7630,.024527626,.019016499,.017526189
7631,.030948019,.02284205,.020602403
7632,.02262155,.017108804,.015392016
7640,.015396738,.013359387,.014781297
7642,.024392935,.017353907,.012475469
7643,.027804172,.022530846,.018873161
7644,.021562414,.02040676,.019703206
7645,.023145873,.016311472,.01567341
7646,.027567038,.019868648,.017785683
7649,.018158574,.014893568,.015268515
7650,.027344838,.022298388,.021729037
7652,.023922183,.018368632,.015835226
7656,.016156822,.016105479,.016154578
7657,.027604621,.021324418,.021619389
7660,.031038165,.02425635,.016121496
7661,.029903265,.019025136,.015997902
7662,.028935248,.025218295,.024105186
7663,.032050259,.023397218,.01861131
7666,.030210683,.023512956,.020868434
7670,.022529472,.017195921,.015113072
7675,.019789081,.015574634,.013570551
7676,.028641865,.020622863,.018114829
7677,.022762578,.014427663,.010738942
7701,.027240321,.021972636,.017821269
7704,.023968311,.016360601,.012376863
7712,.024107335,.017069513,.014775768
7716,.029095778,.02074847,.017657343
7718,.035706431,.02458063,.01861641
7719,.032961957,.021187127,.016478343
7720,.02413323,.016612787,.01277311
7722,.014790895,.010807478,.011590106
7724,.028972678,.022286369,.019326804
7726,.025968626,.020104488,.018091943
7727,.018666916,.017696954,.014987878
7728,.027877741,.022399506,.01965862
7730,.024649262,.021005236,.019205622
7731,.032259978,.022776825,.018559154
7732,.04375837,.030676693,.021312874
7733,.020863881,.014837901,.012156763
7734,.035145417,.029840412,.02508834
7735,.04039982,.030574635,.023373155
7739,.021402121,.015727917,.015753586
7740,.029127182,.021410281,.016956162
7746,.023586383,.015505888,.013476264
7747,.031537067,.023780335,.020710887
7748,.021479271,.01817468,.016955139
7750,.029230682,.020903323,.014078675
7751,.033481076,.019093007,.013296274
7753,.036253083,.028284613,.022595666
7757,.02317103,.017171277,.013523666
7760,.025834085,.016834263,.015762925
7762,.020488977,.015324675,.012881916
7764,.025403507,.020511471,.01881838
7801,.027576787,.022473298,.017439632
7803,.042036179,.033511702,.03136025
7821,.024779845,.021103522,.01968194
7823,.03064852,.022952024,.021105142
7825,.023117902,.020807782,.018979466
7826,.027334385,.022846306,.023746116
7828,.026598047,.017838893,.015793087
7830,.020865764,.014975664,.01198257
7834,.030780029,.024384487,.022027476
7836,.017063888,.014587124,.011926494
7840,.03386084,.026050432,.020175707
7843,.041392442,.034793835,.028869851
7848,.026986223,.022561265,.016639479
7849,.036625952,.028973022,.023076924
